asset_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,asset_name,asset_type,Longitude,Latitude
1835964348,USA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,211.89,0.0006245168207,,8483622.174,landfill_area_sq_meters,,339286.2978,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,Bridgeton Landfill,Sanitary Landfills,-90.445,38.765
1835964350,IND,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,211.4495877,0.01589555316,,256702.5324,landfill_area_sq_meters,,13302.43657,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Budge Budge, Budge Budge - I, South 24 Parganas, West Bengal, 700137, India",Dumpsites,88.18909042783325,22.473336735129372
1835964494,ALB,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,176.8071645,0.0153710093,,205028.5297,landfill_area_sq_meters,,11502.63858,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Vlora, Bashkia Vlorë, Vlorë County, Southern Albania, 9401-9403, Albania, Site 2",Dumpsites,19.47264217860592,40.47990476593124
1835964375,CHN,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,203.8114926,0.01732498317,,268879.2338,landfill_area_sq_meters,,11764.02255,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Gaowei, Taishan, Jiangmen, Guangdong Province, China",Dumpsites,112.52044571055158,21.84912453109666
1835964513,IND,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,172.8586399,0.01589555316,,209852.623,landfill_area_sq_meters,,10874.65395,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Ghaziabad, Ghaziabad District, Uttar Pradesh, 201001, India, Site 3",Dumpsites,77.353034284552,28.62905969559702
1835964519,PHL,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,170.7563634,0.01732498317,,225271.1051,landfill_area_sq_meters,,9856.076728,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Tanza, Cavite, Calabarzon, 4108, Philippines, Site 2",Dumpsites,120.83125179434802,14.343002539241537
1835964526,IDN,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,168.5651638,0.01732498317,,222380.3551,landfill_area_sq_meters,,9729.600439,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Cangkring Malang, Pasuruan, East Java, 67154, Indonesia",Dumpsites,112.74413264902502,-7.589692766489724
1835964533,CHN,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,167.9179801,0.01732498317,,221526.555,landfill_area_sq_meters,,9692.244921,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Dongli District, Tianjin, 300000, China",Dumpsites,117.27855517328078,39.19573500873556
1835964397,NGA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,200.2670233,0.01209668207,,242824.3025,landfill_area_sq_meters,,16555.53335,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Adiyan, Ifo, Ogun, Nigeria",Dumpsites,3.331129175203345,6.695415534393851
1835964542,CHN,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,166.4596092,0.01732498317,,219602.5927,landfill_area_sq_meters,,9608.067588,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"225 National Highway, Changjiang Li Autonomous County, Hainan Province, China",Dumpsites,109.02476744695156,19.299301573181793
1835964543,IDN,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,166.3739408,0.01732498317,,219489.5742,landfill_area_sq_meters,,9603.122797,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Rw 03, Ulujami, Pesanggrahan, South Jakarta, Jakarta Special Capital Region, 12250, Indonesia",Dumpsites,106.76167545071047,-6.231838385034305
1835964549,NGA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,165.0586351,0.01209668207,,200134.0374,landfill_area_sq_meters,,13644.95109,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Igboloye, Ado Odo/Ota, Ogun, Nigeria, Site 1",Dumpsites,3.150458672622043,6.672817282269073
1835964553,PHL,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,164.2321653,0.01732498317,,216664.0273,landfill_area_sq_meters,,9479.499275,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Holcim Perimeter Road, Holcim Cement, San Jose Del Monte, Bulacan, Central Luzon, 3013, Philippines",Dumpsites,121.07708348150364,14.89522218039097
1835964558,CHN,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,162.4052059,0.01732498317,,214253.8027,landfill_area_sq_meters,,9374.046966,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Lelong Road Side Road, Nankengcun, Shunde District, Foshan, Guangdong Province, 528318, China",Dumpsites,113.08182072950737,22.83967607043997
1835964421,IDN,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,195.0474649,0.01732498317,,257317.2506,landfill_area_sq_meters,,11258.16187,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Kadu Jaya, Tangerang Regency, Banten, 15136, Indonesia",Dumpsites,106.55277657590027,-6.22924868295972
1835964438,IDN,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,191.906263,0.01732498317,,253173.2058,landfill_area_sq_meters,,11076.85134,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Suka Tani, Tangerang Regency, Banten, 15540, Indonesia, Site 5",Dumpsites,106.49932496943089,-6.144673867736544
1835964443,DOM,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,190.5308404,0.01648983124,,180598.6126,landfill_area_sq_meters,,11554.44453,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Cruce Los Soto, La Vega, 48000, Dominican Republic",Dumpsites,-70.52952125015258,19.25069917026958
1835964582,CHN,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,157.9597977,0.01732498317,,208389.1778,landfill_area_sq_meters,,9117.457499,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Dalong Subdistrict, Panyu District, Guangzhou City, Guangdong Province, 511450, China",Dumpsites,113.41734366424934,22.970326074884596
